dow,hr,min,stage,No.of waiting,Reason,Serviece time
2,9,26,2,20,0,364
2,0,2,3,30,3,336
0,21,36,3,41,3,434.6
2,22,1,2,22,1,534.6
1,0,19,3,42,3,369.6
2,0,41,2,45,1,792
2,0,41,3,38,0,342
6,22,56,4,9,2,81.9
0,18,25,4,36,3,298.8
6,21,43,2,11,0,215.6
4,0,7,3,24,3,196.8
2,0,22,3,38,3,440.8
5,22,1,4,11,2,60.5
0,22,54,2,47,3,1146.8
1,0,55,3,39,2,335.4
2,0,9,3,12,2,109.2
1,0,36,2,35,1,658
0,12,0,3,28,1,285.6
4,0,44,3,41,0,377.2
1,21,52,2,40,1,800
3,18,45,2,1,0,15.3
2,0,15,2,36,0,849.6
2,0,52,4,18,1,147.6
0,12,45,2,12,2,229.2
6,17,44,3,7,1,63.7
3,18,43,4,13,0,98.8
6,14,47,2,0,2,0
0,18,0,3,46,2,542.8
2,0,31,3,47,3,399.5
3,19,28,3,32,1,294.4
6,14,39,2,16,3,352
6,14,36,4,10,2,92
5,19,47,2,36,2,590.4
3,11,49,3,9,1,81
1,10,49,2,11,2,248.6
6,0,9,2,19,2,364.8
6,21,53,3,10,3,100
2,11,25,3,43,0,387
5,0,27,2,9,3,198.9
2,0,41,3,42,0,420
3,19,58,4,19,2,123.5
2,0,26,2,12,3,226.8
6,20,26,2,21,1,445.2
2,12,4,2,45,3,868.5
3,9,6,2,12,1,285.6
6,18,30,2,39,1,967.2
4,12,52,3,18,2,216
2,22,9,2,41,0,627.3
2,10,41,2,34,2,809.2
2,0,27,3,9,1,87.3
6,14,56,2,24,2,496.8
5,0,22,2,24,0,453.6
0,12,4,3,22,1,200.2
6,17,41,3,10,1,101
0,14,48,3,36,1,424.8
6,0,4,3,17,2,197.2
2,21,40,2,6,3,122.4
6,21,13,4,41,0,299.3
2,19,47,3,6,1,57
3,18,29,4,9,2,71.1
5,22,16,3,26,3,228.8
1,0,4,3,30,1,324
5,22,30,3,6,0,51.6
1,11,13,2,30,3,579
1,20,7,2,0,1,0
2,21,11,3,2,1,21.2
5,10,41,3,1,0,11.5
1,21,16,2,24,2,381.6
4,0,12,3,18,0,210.6
0,11,24,2,11,3,271.7
5,22,18,2,6,3,149.4
6,16,54,2,1,0,24.4
0,9,42,2,9,1,189.9
4,18,20,3,15,1,127.5
2,21,16,2,8,2,133.6
1,22,4,4,15,1,115.5
4,21,31,4,11,2,63.8
3,12,50,2,13,2,287.3
5,19,53,2,20,3,418
2,0,45,3,26,2,312
2,21,41,2,14,1,266
6,14,2,2,37,2,765.9
2,11,18,3,2,2,20.4
6,0,13,3,7,3,76.3
0,20,58,2,43,1,683.7
1,0,43,3,38,1,353.4
3,18,24,4,38,2,231.8
0,21,57,2,32,1,771.2
1,0,42,2,3,0,53.4
3,21,51,3,28,0,235.2
5,0,38,2,29,1,594.5
3,0,18,4,20,3,160
4,20,3,3,22,2,206.8
5,0,49,2,28,0,618.8
6,20,2,4,4,0,39.2
3,20,17,2,34,2,771.8
1,0,6,2,46,0,938.4
1,0,38,4,42,3,365.4
1,19,23,2,28,3,492.8
1,22,49,2,12,3,268.8
2,9,50,3,37,2,403.3
3,19,58,3,27,0,272.7
4,21,34,2,30,3,669
3,0,39,2,44,3,950.4
5,18,25,2,22,2,411.4
2,0,31,4,19,2,123.5
5,20,22,2,41,2,1004.5
2,22,23,4,24,2,204
4,20,56,2,40,2,980
5,19,26,2,22,0,451
1,10,15,2,19,3,425.6
0,0,13,2,12,2,253.2
3,22,52,2,8,2,147.2
5,19,40,2,18,1,298.8
4,18,15,4,49,0,465.5
1,0,40,3,35,3,350
2,21,46,3,28,1,254.8
2,22,28,2,8,3,124.8
2,19,50,2,31,1,737.8
6,16,49,2,11,3,235.4
5,0,42,3,8,3,73.6
0,0,48,2,22,1,378.4
0,0,54,2,42,0,663.6
6,16,54,3,21,3,239.4
5,9,34,2,5,0,105.5
2,21,27,2,27,3,426.6
1,21,31,2,46,0,772.8
2,12,21,2,33,2,739.2
4,11,28,3,40,1,324
1,21,11,2,36,0,810
2,18,46,2,6,3,130.8
6,14,55,3,25,2,290
3,22,30,3,42,2,424.2
6,20,23,2,43,2,756.8
1,0,22,3,36,0,428.4
6,0,54,2,48,2,830.4
3,10,18,3,26,2,215.8
5,0,40,3,47,1,526.4
1,0,11,4,9,3,51.3
4,10,36,3,37,3,421.8
2,0,2,4,34,0,268.6
2,0,13,2,42,2,1008
0,19,57,4,45,1,256.5
4,20,3,3,47,3,451.2
3,0,45,4,46,2,349.6
6,0,17,4,26,1,140.4
2,18,8,2,25,3,622.5
1,10,31,2,16,1,379.2
6,16,47,2,21,1,451.5
1,21,35,2,13,3,284.7
3,0,46,2,15,2,324
0,9,42,4,40,0,392
5,0,41,4,26,1,171.6
4,20,35,2,13,3,266.5
4,0,45,2,18,1,381.6
6,16,58,3,40,3,456
2,19,26,3,31,3,356.5
0,12,32,4,6,3,46.8
6,0,58,2,20,3,416
3,19,51,3,39,1,339.3
2,19,42,4,48,0,379.2
5,0,30,3,32,3,342.4
1,0,19,2,36,0,802.8
0,0,7,2,17,3,374
1,0,27,2,13,1,206.7
2,21,33,2,2,3,49.2
6,0,29,2,7,1,137.9
3,22,39,4,38,2,258.4
0,18,21,4,48,3,417.6
0,0,53,3,49,3,573.3
3,0,54,2,43,3,920.2
6,19,13,2,16,1,294.4
0,9,35,3,34,0,306
6,11,36,2,16,1,366.4
4,0,30,2,49,1,749.7
4,0,51,4,3,1,28.5
2,22,53,4,47,2,418.3
2,0,52,2,38,3,824.6
2,0,3,4,21,0,157.5
1,19,26,3,48,3,528
5,0,39,2,25,0,595
2,18,19,2,24,3,566.4
3,0,34,4,27,1,226.8
3,20,36,4,0,2,0
6,0,38,2,37,0,562.4
1,21,33,3,6,0,52.8
3,0,56,2,32,1,768
1,19,31,4,32,0,300.8
6,21,33,2,43,2,958.9
0,18,44,3,12,1,105.6
4,19,34,3,42,3,449.4
6,0,10,2,22,1,486.2
1,19,16,2,25,2,515
6,0,0,2,42,2,957.6
1,0,9,3,36,1,370.8
5,21,53,3,26,2,239.2
3,18,22,4,6,3,51.6
2,21,0,3,7,1,74.9
1,21,28,2,8,3,185.6
3,0,31,3,23,2,227.7
4,19,47,2,31,2,638.6
2,22,47,3,28,2,280
0,0,36,2,43,0,786.9
6,0,12,2,35,3,574
1,0,3,3,49,2,514.5
5,0,19,4,14,3,113.4
5,18,57,2,15,3,318
3,0,55,2,24,0,460.8
1,0,10,3,13,3,139.1
5,22,57,3,29,2,269.7
6,15,45,3,35,2,406
1,0,1,3,46,1,529
6,22,51,2,30,3,501
1,12,0,4,15,1,106.5
6,22,39,3,44,0,475.2
6,15,34,4,4,2,36
6,0,37,2,44,1,1078
0,11,45,4,4,2,32
6,20,38,3,21,2,186.9
1,21,16,4,29,2,159.5
0,14,36,2,1,1,16.9
6,18,51,4,31,3,297.6
3,20,21,3,43,1,503.1
6,16,48,2,12,2,288
4,0,32,2,24,2,458.4
5,0,57,4,20,2,100
0,18,13,3,7,0,65.1
4,11,14,3,34,2,377.4
4,22,7,2,46,0,1090.2
6,16,14,2,46,1,1122.4
0,19,14,2,36,2,734.4
3,18,44,2,38,2,741
2,0,40,4,18,3,167.4
5,19,15,4,42,0,365.4
4,12,23,2,6,2,144
3,18,25,3,42,2,504
3,0,2,4,17,2,130.9
5,10,9,2,13,0,200.2
3,22,7,4,22,2,169.4
3,22,15,3,49,0,588
3,0,40,4,6,0,55.2
6,18,29,3,5,2,41.5
2,19,18,2,0,1,0
4,20,42,2,35,0,612.5
3,22,27,3,48,0,508.8
4,0,26,4,15,1,112.5
3,0,8,4,42,1,281.4
3,18,21,3,23,0,227.7
5,0,2,3,24,2,240
2,22,58,3,26,1,275.6
2,20,18,3,29,1,298.7
0,22,18,3,35,3,346.5
6,16,34,4,31,2,279
0,0,20,4,16,0,134.4
4,18,58,2,47,1,949.4
0,16,26,3,29,1,255.2
4,10,57,4,26,1,184.6
5,10,58,4,13,0,98.8
4,0,36,3,43,0,404.2
4,0,31,4,34,2,248.2
2,0,19,2,18,2,424.8
2,22,11,3,10,1,89
1,20,38,3,31,0,350.3
0,19,28,2,17,1,277.1
3,0,38,2,21,2,399
5,19,18,2,3,3,49.8
0,17,3,2,27,3,499.5
4,10,51,3,2,2,16.6
2,12,28,4,13,1,78
5,12,15,2,9,3,177.3
1,18,35,3,11,2,93.5
4,0,14,4,5,3,29
3,0,51,3,15,0,160.5
1,0,50,2,43,1,756.8
6,15,19,2,8,2,160.8
0,17,35,3,25,2,242.5
1,12,39,3,40,2,416
6,18,39,2,12,2,282
1,0,24,2,3,1,65.1
1,18,50,4,7,2,47.6
2,11,1,3,25,1,245
6,0,41,2,26,1,647.4
6,0,9,2,7,2,117.6
4,0,26,2,10,2,189
6,0,45,3,43,3,412.8
0,18,22,3,24,2,268.8
2,0,15,2,20,3,468
5,9,15,2,4,1,66
4,12,56,3,3,0,24.9
0,18,43,2,44,0,809.6
2,20,49,3,44,1,374
5,21,38,2,16,3,328
5,0,28,2,17,1,387.6
0,21,8,4,8,1,76
4,22,10,2,31,1,576.6
2,21,6,3,46,1,519.8
5,9,3,4,39,3,245.7
1,20,4,3,6,2,49.8
2,0,46,2,16,1,291.2
6,22,56,2,46,1,841.8
3,0,7,2,36,2,741.6
2,21,24,4,18,2,162
4,20,21,3,37,2,336.7
6,18,4,4,6,0,35.4
4,0,24,3,9,2,102.6
5,11,40,4,22,2,138.6
5,0,35,2,26,3,582.4
2,21,54,3,44,2,484
6,0,42,2,23,3,379.5
4,0,33,3,25,3,300
1,0,25,4,41,3,250.1
5,18,49,3,22,2,264
5,0,24,4,44,1,360.8
6,21,48,2,4,2,77.6
3,0,16,2,1,0,23.5
1,20,5,3,46,0,529
0,12,55,3,10,0,111
2,11,26,3,9,3,85.5
3,18,14,4,12,1,70.8
2,0,39,4,9,1,45.9
6,0,15,2,36,1,716.4
5,0,37,3,2,1,16.4
3,0,24,3,39,1,358.8
4,18,18,2,8,0,143.2
3,20,29,2,12,0,290.4
5,0,33,4,36,3,331.2
5,0,4,3,8,1,65.6
5,18,15,4,27,3,186.3
2,20,9,4,48,3,369.6
3,21,24,2,45,3,1066.5
0,9,6,2,7,3,108.5
3,21,18,4,49,3,401.8
2,12,11,4,20,1,130
0,14,15,4,25,1,220
4,18,32,3,12,0,98.4
3,21,26,3,37,3,303.4
1,0,15,4,31,1,294.5
5,0,57,2,3,1,56.1
1,9,3,2,4,1,62.8
0,12,4,3,20,2,228
0,22,24,3,10,2,95
2,10,19,3,41,0,475.6
2,20,29,4,9,3,47.7
3,0,38,2,11,2,168.3
4,0,17,2,14,1,245
1,0,0,3,35,0,388.5
1,22,43,3,31,3,310
2,0,18,3,26,1,231.4
2,0,16,3,24,2,220.8
4,0,4,4,44,0,312.4
3,20,31,3,37,2,425.5
2,0,56,3,12,1,98.4
0,14,32,2,15,0,225
0,20,5,2,15,0,270
5,9,12,3,1,3,10.9
5,20,15,2,27,2,459
3,19,49,3,32,2,374.4
0,20,57,2,1,2,24
4,0,41,2,45,3,994.5
3,0,40,2,22,2,519.2
6,18,6,3,35,2,374.5
3,22,33,3,13,3,120.9
2,19,41,3,17,0,178.5
3,0,55,4,43,3,391.3
1,0,34,3,42,0,394.8
1,20,22,3,1,0,8.2
6,10,38,3,38,3,311.6
3,18,43,2,12,0,270
3,9,29,3,39,2,432.9
2,0,6,3,31,1,257.3
2,19,0,2,21,2,468.3
4,0,32,3,35,3,290.5
2,18,45,3,23,2,220.8
0,0,13,4,26,2,140.4
2,0,37,2,14,2,274.4
3,0,4,2,31,1,682
6,21,6,3,18,1,205.2
2,22,52,4,40,0,300
4,22,26,2,22,3,413.6
0,17,5,2,17,2,408
1,18,48,2,49,0,1029
1,21,12,3,10,0,93
0,14,47,4,26,3,236.6
1,10,19,2,6,1,126.6
1,0,27,2,25,1,552.5
3,19,58,2,49,2,739.9
2,19,41,2,39,3,951.6
3,19,27,2,7,0,170.8
6,10,9,2,22,2,385
6,20,42,3,46,1,469.2
5,11,52,3,26,2,231.4
6,21,57,2,36,1,543.6
1,20,8,2,33,3,643.5
1,18,23,2,35,0,763
5,22,12,2,31,0,753.3
6,0,50,4,30,3,153
3,0,18,2,30,0,669
0,14,9,4,1,1,8.1
1,0,2,2,10,0,196
1,0,32,2,42,3,907.2
1,10,57,4,45,3,261
2,21,8,4,43,2,365.5
6,20,53,3,33,0,343.2
4,21,12,2,23,1,400.2
6,14,31,3,48,3,465.6
4,0,38,2,7,2,116.9
5,20,17,2,0,1,0
6,12,5,4,49,3,298.9
4,19,29,4,47,0,399.5
0,0,55,3,44,2,506
2,12,52,4,35,3,318.5
5,9,14,3,6,0,64.2
3,0,50,2,21,3,504
2,0,39,2,34,1,605.2
0,0,6,3,24,2,280.8
4,21,55,3,7,0,67.2
2,21,37,2,4,3,67.6
5,20,30,3,19,2,195.7
2,21,22,2,19,2,294.5
5,20,41,3,19,1,180.5
1,0,34,3,28,2,308
6,0,14,2,39,1,822.9
1,18,13,2,7,2,121.1
6,19,31,3,44,2,453.2
0,10,50,2,5,2,92
5,22,54,4,28,2,165.2
0,0,6,3,22,0,255.2
5,21,10,2,44,2,1095.6
4,0,13,2,0,1,0
2,10,51,3,21,1,237.3
6,22,3,2,15,1,294
0,12,20,2,3,0,67.2
0,11,46,2,5,2,101
1,0,52,4,41,1,405.9
1,10,29,3,33,2,283.8
4,21,55,3,8,2,90.4
3,21,8,3,35,1,294
2,0,24,2,42,1,634.2
6,18,45,2,13,0,299
6,15,40,2,27,3,615.6
0,0,52,2,18,1,423
3,0,4,3,14,2,128.8
6,21,38,3,27,2,245.7
4,22,13,4,10,0,62
2,22,20,2,18,0,304.2
5,0,11,3,15,3,166.5
4,19,32,2,6,2,141.6
3,19,25,3,32,2,288
1,19,40,2,37,2,610.5
4,0,30,4,37,2,199.8
4,0,17,4,46,0,308.2
0,12,15,3,3,2,35.4
3,18,58,3,24,2,237.6
1,18,26,2,33,3,735.9
2,18,47,3,47,2,404.2
5,19,4,4,22,3,167.2
6,0,13,2,30,3,510
2,20,32,2,21,3,457.8
5,0,20,3,12,1,126
4,0,36,3,13,3,114.4
6,0,40,4,15,0,118.5
6,15,56,2,28,2,694.4
5,22,4,2,7,0,169.4
5,0,29,3,20,2,210
1,9,50,4,14,0,93.8
3,12,4,3,44,2,382.8
6,17,5,2,32,1,547.2
4,0,1,3,38,0,437
2,10,31,2,17,3,416.5
4,0,54,2,10,0,234
5,0,27,2,8,2,188.8
3,10,15,3,2,1,21.8
0,15,7,2,40,1,972
5,20,41,3,30,3,276
3,0,38,2,33,1,679.8
3,12,6,2,14,3,312.2
3,21,35,4,48,0,388.8
6,14,25,2,18,3,306
2,0,17,3,13,0,149.5
4,21,18,2,48,3,1084.8
1,18,45,3,39,0,409.5
5,18,35,3,13,2,114.4
2,18,38,4,40,3,352
6,19,52,2,9,1,196.2
1,0,8,3,18,0,162
5,18,34,2,9,2,213.3
3,0,37,2,21,1,426.3
5,21,38,3,38,2,364.8
1,0,48,2,21,0,342.3
5,0,34,2,12,3,216
4,10,54,2,36,2,687.6
3,0,46,3,18,1,147.6
1,9,43,2,11,2,264
6,0,49,2,13,1,317.2
2,21,25,3,25,3,215
0,0,9,3,19,2,209
6,16,43,2,38,0,676.4
6,17,35,2,46,2,800.4
6,20,0,3,26,2,304.2
2,0,2,3,0,0,0
5,0,31,2,17,3,414.8
2,22,23,4,20,1,184
0,20,8,2,2,2,37.2
0,18,3,2,44,3,1034
5,9,47,2,20,3,454
4,22,39,4,27,1,210.6
3,12,42,2,28,1,697.2
5,18,34,3,43,1,348.3
5,10,30,2,24,2,472.8
5,19,36,2,7,3,123.2
0,12,14,3,17,3,195.5
2,19,51,4,10,0,60
2,0,43,4,48,1,460.8
1,0,51,2,2,2,49.2
2,19,10,2,36,3,734.4
2,22,58,2,26,3,613.6
6,19,28,4,5,2,42
2,0,11,3,1,3,10.1
5,11,58,4,45,2,450
0,0,26,2,26,2,501.8
2,19,16,2,12,1,279.6
0,9,58,2,31,0,666.5
3,22,43,3,42,0,399
6,0,53,2,2,2,46.6
2,21,20,2,16,0,254.4
1,21,40,4,46,3,437
6,12,57,2,46,2,749.8
4,19,55,2,40,0,816
3,0,8,3,18,2,167.4
3,0,47,3,33,0,363
5,21,44,3,37,3,403.3
0,0,11,4,37,2,314.5
1,22,40,3,45,3,535.5
2,0,55,2,28,3,529.2
1,0,6,4,26,3,221
6,0,43,3,3,3,24.3
4,0,45,4,21,1,159.6
0,12,24,4,11,2,74.8
2,9,32,2,20,2,422
1,22,28,3,1,0,10.1
2,22,50,2,46,1,855.6
0,17,28,2,13,1,213.2
3,0,33,3,45,3,409.5
5,19,7,2,24,2,451.2
4,12,9,3,20,3,198
6,15,20,3,44,1,488.4
4,19,8,4,8,2,46.4
6,18,37,2,49,0,749.7
5,21,49,3,1,0,10.5
1,0,31,4,5,2,41.5
3,20,2,2,16,0,376
6,22,3,3,33,3,386.1
4,22,33,4,10,2,61
0,11,51,3,4,2,36.8
5,18,21,2,11,3,185.9
5,21,33,2,43,1,1036.3
0,22,2,2,4,1,81.6
6,18,25,3,40,3,440
1,19,44,3,47,2,455.9
5,9,54,4,46,3,391
5,0,58,4,25,1,180
4,0,58,2,10,2,247
3,20,7,3,10,0,86
2,18,36,4,30,3,198
2,20,52,4,21,1,180.6
6,0,34,2,38,3,661.2
3,20,38,2,17,1,255
1,0,27,2,28,3,599.2
2,0,58,2,32,1,678.4
1,21,6,2,44,0,734.8
6,12,22,3,31,3,319.3
5,11,11,3,34,3,329.8
2,22,3,3,2,2,21.6
2,19,17,4,22,0,193.6
0,0,0,2,48,3,1065.6
6,21,14,3,22,0,226.6
3,12,24,4,34,1,183.6
4,0,46,4,38,3,300.2
3,0,51,2,13,2,323.7
2,0,4,4,19,3,102.6
1,19,45,3,6,1,50.4
1,21,22,4,17,2,112.2
3,0,33,2,16,3,368
0,9,51,2,2,2,33.4
2,9,26,2,9,1,163.8
6,0,12,2,12,2,187.2
1,0,51,4,32,2,259.2
1,9,48,4,32,0,313.6
2,18,37,2,34,1,703.8
2,0,43,2,36,0,788.4
3,0,27,3,13,1,114.4
1,12,11,2,6,0,123
0,15,1,3,28,2,310.8
6,14,51,2,17,0,397.8
6,19,26,4,21,2,121.8
0,22,37,3,45,3,486
6,0,8,2,8,0,124
2,22,20,2,1,2,21.7
4,0,32,3,16,2,137.6
6,18,38,2,11,0,232.1
1,20,15,3,22,3,244.2
2,18,5,2,2,0,30.4
1,10,14,2,32,0,720
4,0,20,3,7,2,65.8
5,18,57,2,38,1,832.2
5,21,49,2,42,3,684.6
0,0,3,3,21,0,222.6
3,22,58,4,23,0,227.7
4,21,32,2,24,3,384
5,22,44,2,19,1,442.7
3,21,15,3,37,0,440.3
6,0,38,2,34,0,656.2
2,0,1,2,15,0,313.5
5,0,54,2,33,2,801.9
5,0,37,3,3,0,27.6
0,10,12,2,36,3,608.4
6,19,48,4,34,0,265.2
0,22,50,3,47,3,549.9
0,0,44,4,30,3,231
3,12,8,3,1,2,8.3
6,0,47,2,13,1,296.4
5,11,10,2,33,3,811.8
3,12,34,3,34,1,357
2,9,6,2,47,0,1151.5
0,21,50,2,9,2,143.1
1,11,37,3,47,0,535.8
4,21,4,2,13,0,221
1,19,24,3,14,3,141.4
2,19,27,3,40,3,408
0,22,15,2,23,1,547.4
5,11,1,2,1,0,16.5
6,12,16,3,2,1,23.2
5,0,13,2,33,2,541.2
3,9,10,3,47,0,484.1
2,18,37,3,22,0,242
2,21,48,3,15,0,160.5
1,0,48,4,14,0,116.2
1,22,42,2,42,0,793.8
5,20,58,2,9,3,187.2
1,19,33,2,30,2,486
2,19,9,4,45,3,414
0,0,44,3,24,1,254.4
4,19,1,2,2,0,41.6
3,21,19,3,2,0,18.4
1,18,7,3,29,2,287.1
4,22,56,2,20,3,500
3,18,29,2,33,1,729.3
6,15,2,4,22,2,173.8
6,0,18,2,23,2,558.9
0,22,23,3,32,2,336
4,0,11,2,30,1,453
2,22,2,3,36,2,356.4
6,21,31,2,34,0,663
0,12,11,4,36,1,302.4
4,22,51,3,0,3,0
2,0,26,4,44,2,422.4
1,0,35,2,39,1,967.2
3,0,31,4,41,2,278.8
3,21,0,2,20,0,332
1,0,23,2,36,0,709.2
2,0,39,2,38,3,862.6
5,12,28,4,22,2,217.8
4,0,4,3,25,0,220
1,21,25,3,47,3,484.1
6,15,1,2,6,3,91.8
5,0,11,3,38,1,437
4,22,2,2,30,1,621
5,0,17,2,5,3,90
4,0,40,2,40,2,760
5,20,15,3,37,2,436.6
1,0,56,2,11,0,244.2
2,19,45,2,30,0,726
2,22,26,3,25,3,300
0,18,22,2,2,0,37.8
6,21,45,3,32,0,300.8
3,11,41,2,19,2,461.7
6,10,32,2,5,0,115.5
0,10,3,3,10,2,101
5,19,55,3,12,2,126
1,21,41,2,5,0,103
4,22,1,3,6,1,58.2
1,10,55,2,18,1,351
2,10,17,4,31,3,269.7
3,18,17,4,16,3,94.4
0,10,0,4,16,3,104
3,21,34,2,36,0,651.6
3,12,18,3,46,2,492.2
3,0,17,3,10,2,84
1,9,3,2,36,3,759.6
0,22,55,2,48,0,1152
0,11,22,4,11,0,82.5
4,22,47,3,1,0,9.9
5,0,57,2,29,0,562.6
1,19,20,2,6,1,111
5,20,1,2,5,0,111.5
3,20,14,2,9,0,221.4
4,20,51,4,1,1,6.8
3,0,9,2,26,3,611
3,21,10,3,26,3,249.6
2,0,52,4,5,0,40
5,20,37,2,18,1,307.8
5,0,27,2,14,1,308
2,0,39,3,25,3,212.5
2,12,10,4,44,2,330
1,0,20,4,47,2,310.2
2,18,18,3,35,2,315
4,0,56,2,1,1,23.6
5,22,58,2,11,1,239.8
6,18,11,2,38,2,851.2
0,0,18,2,26,1,579.8
0,20,14,2,43,1,1001.9
1,0,25,2,22,0,429
1,0,54,2,22,0,343.2
1,21,4,2,43,2,937.4
1,22,7,2,12,0,243.6
3,21,26,3,24,2,283.2
2,18,18,4,34,2,227.8
5,0,6,2,26,3,494
4,0,33,2,41,3,803.6
5,0,6,2,10,1,218
6,18,35,2,3,2,57.9
4,0,27,2,31,1,703.7
5,21,39,4,39,3,327.6
0,15,11,3,25,2,265
6,0,21,3,22,0,239.8
1,19,40,2,16,2,358.4
1,20,50,3,49,3,485.1
6,0,8,2,14,3,280
4,0,54,3,16,1,172.8
2,0,50,3,12,2,106.8
3,20,6,2,25,0,535
3,21,24,2,46,1,1016.6
5,22,53,3,44,0,506
6,12,12,3,10,3,108
6,18,42,2,42,2,995.4
4,18,19,2,26,1,468
5,0,54,4,1,3,9.3
1,0,36,2,48,1,1104
3,21,54,3,29,0,330.6
3,19,57,3,10,2,99
1,21,55,3,15,3,172.5
3,0,44,3,48,0,436.8
0,0,47,2,38,3,672.6
3,22,26,3,42,1,453.6
1,18,12,3,8,0,77.6
0,16,37,3,1,3,9.9
1,0,9,4,0,2,0
6,20,39,3,28,3,296.8
4,10,5,4,6,3,33.6
4,18,40,3,26,2,286
3,0,53,2,30,3,456
4,0,22,3,6,1,61.2
6,22,44,2,9,2,155.7
6,10,49,4,36,1,223.2
2,22,57,2,31,0,737.8
1,0,22,3,3,2,24.6
1,0,28,4,11,0,59.4
1,19,6,4,46,1,455.4
6,0,6,2,33,1,531.3
6,11,12,2,33,0,600.6
3,0,18,2,21,3,401.1
6,10,35,2,38,2,714.4
1,0,26,4,3,0,29.1
2,0,1,2,3,3,68.1
5,12,21,2,2,3,42.6
3,20,0,4,2,2,12.8
0,0,41,3,15,0,148.5
2,0,15,2,11,2,237.6
4,9,42,2,15,2,324
4,18,12,2,32,1,512
2,19,49,2,47,1,1019.9
5,20,58,3,6,3,50.4
5,20,20,3,39,1,347.1
5,20,51,4,20,3,126
6,0,31,4,27,2,194.4
3,21,11,2,38,2,923.4
2,0,20,2,27,1,502.2
0,19,57,4,26,0,252.2
4,20,6,3,27,3,278.1
6,16,28,3,32,2,300.8
1,0,45,3,49,0,578.2
3,22,55,3,1,1,9.7
4,10,40,3,26,1,234
0,20,34,2,38,2,646
0,9,10,2,9,2,183.6
2,19,20,2,34,2,720.8
6,0,41,2,12,0,196.8
3,0,44,4,13,2,85.8
6,9,39,4,38,0,197.6
0,22,31,2,41,0,947.1
0,21,39,4,21,3,151.2
2,21,37,2,26,0,626.6
1,0,17,3,33,3,392.7
4,22,2,3,41,2,344.4
4,19,26,2,11,3,187
3,0,34,2,42,3,978.6
0,17,58,2,14,0,226.8
5,20,38,3,15,1,135
0,19,28,3,5,3,52
5,21,49,4,22,0,184.8
6,0,8,2,13,1,301.6
6,21,19,2,25,2,437.5
2,0,40,3,37,3,407
3,19,57,2,14,1,333.2
3,0,44,2,25,1,607.5
4,0,31,4,39,0,304.2
1,12,57,3,16,3,179.2
5,0,36,4,8,3,76.8
0,0,58,2,44,0,783.2
6,9,52,2,39,0,936
5,19,25,2,40,0,896
3,21,25,2,13,2,250.9
4,10,6,2,0,0,0
2,19,43,2,44,2,660
3,20,53,2,49,1,818.3
2,21,7,2,0,2,0
4,18,46,4,32,3,188.8
1,9,34,4,38,1,330.6
2,22,20,2,21,0,333.9
4,0,35,2,49,3,975.1
6,16,53,2,47,2,991.7
4,11,35,3,32,1,371.2
2,22,30,2,45,3,715.5
3,11,23,2,47,1,1142.1
2,12,21,2,42,1,1016.4
5,21,38,3,45,1,495
1,21,54,2,34,3,527
0,0,17,3,35,2,343
0,18,22,3,33,1,369.6
3,18,13,2,9,3,173.7
6,15,42,2,24,1,388.8
4,18,5,4,36,0,288
0,0,13,2,31,1,737.8
6,0,10,2,10,1,171
4,0,32,2,3,0,66.6
4,12,8,3,0,1,0
2,9,17,4,14,1,130.2
2,0,57,2,13,0,205.4
1,11,18,2,45,0,859.5
0,16,22,4,47,1,291.4
5,0,13,2,38,2,858.8
5,0,45,4,49,0,396.9
6,18,10,2,17,2,392.7
5,20,9,2,6,1,105.6
0,14,27,3,40,1,360
0,10,43,2,29,3,609
2,0,25,4,36,2,360
1,19,27,4,0,1,0
3,12,39,2,47,3,921.2
4,20,46,3,19,3,207.1
1,19,26,4,29,3,232
0,11,57,2,22,2,402.6
0,18,7,2,17,2,397.8
0,0,53,3,19,3,159.6
0,12,43,4,8,3,41.6
0,22,36,4,48,1,432
4,0,33,4,21,3,121.8
4,0,49,3,42,1,415.8
2,18,36,4,44,0,369.6
4,21,12,3,30,2,252
4,0,41,2,0,3,0
1,19,3,2,23,0,397.9
6,0,12,4,21,1,134.4
1,9,51,4,32,2,195.2
4,9,28,3,26,2,309.4
1,22,0,4,25,2,170
3,0,43,3,25,0,237.5
1,20,33,4,49,0,396.9
2,21,18,3,22,3,233.2
4,20,30,2,10,3,186
5,19,2,2,5,3,119
1,22,10,3,43,3,417.1
3,0,40,2,24,2,400.8
1,21,53,2,14,0,299.6
4,10,57,2,17,2,387.6
1,22,21,2,34,0,836.4
6,12,31,2,29,1,548.1
4,0,54,4,36,2,205.2
2,20,25,2,4,3,70
3,0,58,2,23,2,397.9
2,0,55,3,49,2,406.7
6,18,29,2,25,0,547.5
5,0,30,2,10,0,174
1,0,41,3,33,3,277.2
5,0,56,3,6,2,57
2,20,26,3,43,1,464.4
1,11,30,3,10,1,94
5,18,32,2,2,3,33
5,0,32,2,21,0,325.5
1,0,51,4,6,0,51.6
5,0,2,2,10,0,229
3,22,19,3,6,2,56.4
0,14,3,4,31,2,241.8
0,11,44,3,0,2,0
6,10,37,3,3,0,28.2
4,9,7,2,9,0,199.8
3,20,9,4,6,0,57.6
2,20,53,2,28,2,557.2
2,0,38,2,13,2,267.8
0,18,16,2,47,0,794.3
6,9,9,2,11,3,214.5
3,0,57,2,10,1,201
